rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.51,0.43,93.96
2,2,Manchester City,Barclays Premier League,2.86,0.24,92.84
3,3,Barcelona,Spanish Primera Division,3.01,0.5,90.16
4,4,Liverpool,Barclays Premier League,2.79,0.46,88.95
5,5,Paris Saint-Germain,French Ligue 1,2.89,0.52,88.85
6,6,Borussia Dortmund,German Bundesliga,2.52,0.4,87.68
7,7,Atletico Madrid,Spanish Primera Division,2.38,0.37,87.04
8,8,Real Madrid,Spanish Primera Division,2.62,0.49,87.01
9,9,Chelsea,Barclays Premier League,2.48,0.47,86.07
10,10,RB Leipzig,German Bundesliga,2.43,0.49,85.06
11,11,Internazionale,Italy Serie A,2.58,0.59,84.87
12,12,Manchester United,Barclays Premier League,2.36,0.52,83.8
13,13,Real Sociedad,Spanish Primera Division,2.18,0.44,83.36
14,14,Tottenham Hotspur,Barclays Premier League,2.36,0.59,82.27
15,15,Napoli,Italy Serie A,2.18,0.51,81.68
16,16,Juventus,Italy Serie A,2.4,0.65,81.61
17,17,Leicester City,Barclays Premier League,2.21,0.57,80.85
18,18,Sevilla FC,Spanish Primera Division,2.04,0.47,80.81
19,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.89,1.0,80.63
20,20,AC Milan,Italy Serie A,2.37,0.71,79.92
21,21,Ajax,Dutch Eredivisie,2.71,0.93,79.87
22,22,Arsenal,Barclays Premier League,2.1,0.56,79.46
23,23,Borussia Monchengladbach,German Bundesliga,2.4,0.76,79.22
24,24,Villarreal,Spanish Primera Division,2.22,0.65,79.18
25,25,Atalanta,Italy Serie A,2.43,0.8,78.74
26,26,Bayer Leverkusen,German Bundesliga,2.19,0.67,78.31
27,27,AS Roma,Italy Serie A,2.31,0.77,77.94
28,28,Wolverhampton,Barclays Premier League,1.81,0.51,76.19
29,29,Zenit St Petersburg,Russian Premier Liga,2.09,0.7,76.07
30,30,Lyon,French Ligue 1,2.09,0.71,75.79
31,31,Lille,French Ligue 1,1.95,0.65,75.02
32,32,FC Porto,Portuguese Liga,2.17,0.82,74.61
33,33,Everton,Barclays Premier League,2.05,0.74,74.52
34,34,Getafe,Spanish Primera Division,1.75,0.55,74.19
35,35,Olympiacos,Greek Super League,2.0,0.72,74.19
36,36,TSG Hoffenheim,German Bundesliga,2.33,0.95,74.12
37,37,Southampton,Barclays Premier League,1.99,0.72,74.1
38,38,West Ham United,Barclays Premier League,2.03,0.75,73.91
39,39,Benfica,Portuguese Liga,2.24,0.92,73.52
40,40,Aston Villa,Barclays Premier League,2.11,0.84,73.17
41,41,Eintracht Frankfurt,German Bundesliga,2.16,0.88,73.08
42,42,Shakhtar Donetsk,UEFA Champions League,2.31,1.02,72.48
43,43,Real Betis,Spanish Primera Division,1.97,0.78,72.4
44,44,Brighton and Hove Albion,Barclays Premier League,1.89,0.74,71.82
45,45,VfL Wolfsburg,German Bundesliga,1.92,0.77,71.63
46,46,AS Monaco,French Ligue 1,2.07,0.9,71.18
47,47,Athletic Bilbao,Spanish Primera Division,1.75,0.7,70.28
48,48,Lazio,Italy Serie A,2.03,0.92,70.11
49,49,Celta Vigo,Spanish Primera Division,1.8,0.75,70.06
50,50,Hertha Berlin,German Bundesliga,2.0,0.91,69.87
51,51,Osasuna,Spanish Primera Division,1.72,0.71,69.5
52,52,CSKA Moscow,Russian Premier Liga,1.78,0.76,69.27
53,53,Club Brugge,Belgian Jupiler League,2.03,0.97,68.89
54,54,Granada,Spanish Primera Division,1.72,0.74,68.76
55,56,1. FC Union Berlin,German Bundesliga,1.81,0.82,68.51
56,55,Flamengo,Brasileiro Série A,1.98,0.96,68.3
57,57,Young Boys,Swiss Raiffeisen Super League,1.94,0.93,68.16
58,58,Levante,Spanish Primera Division,1.88,0.88,68.14
59,59,Sporting CP,Portuguese Liga,1.78,0.84,67.36
60,60,Crystal Palace,Barclays Premier League,1.76,0.84,67.14
61,61,Cadiz,Spanish Primera Division,1.65,0.75,67.04
62,62,Burnley,Barclays Premier League,1.68,0.78,66.85
63,63,Fiorentina,Italy Serie A,1.82,0.9,66.84
64,64,Valencia,Spanish Primera Division,1.88,0.94,66.79
