rank,name,confed,off,def,spi
1,Spain,UEFA,3.54,0.39,93.99
2,Brazil,CONMEBOL,3.04,0.32,92.22
3,Belgium,UEFA,2.96,0.58,87.71
4,France,UEFA,2.9,0.55,87.64
5,England,UEFA,2.7,0.45,87.44
6,Argentina,CONMEBOL,2.54,0.42,86.59
7,Portugal,UEFA,2.7,0.52,86.2
8,Netherlands,UEFA,2.69,0.53,86.07
9,Germany,UEFA,3.04,0.73,86.05
10,Italy,UEFA,2.52,0.44,86.04
11,Uruguay,CONMEBOL,2.36,0.56,81.8
12,Switzerland,UEFA,2.39,0.67,79.84
13,Colombia,CONMEBOL,2.17,0.54,79.63
14,Denmark,UEFA,2.12,0.58,78.1
15,Mexico,CONCACAF,2.34,0.73,77.92
16,Chile,CONMEBOL,2.22,0.72,76.47
17,Croatia,UEFA,2.42,0.86,76.37
18,Austria,UEFA,2.11,0.69,75.41
19,Ecuador,CONMEBOL,2.24,0.79,75.28
20,Serbia,UEFA,2.22,0.84,73.91
21,Russia,UEFA,2.18,0.85,73.07
22,Sweden,UEFA,1.97,0.74,72.21
23,Poland,UEFA,1.92,0.72,71.67
24,Czech Republic,UEFA,1.96,0.76,71.49
25,Algeria,CAF,2.03,0.81,71.42
26,Morocco,CAF,1.79,0.67,70.59
27,Venezuela,CONMEBOL,1.87,0.74,70.38
28,USA,CONCACAF,1.88,0.76,70.26
29,Peru,CONMEBOL,1.89,0.77,69.91
30,Iran,AFC,1.78,0.7,69.77
31,Paraguay,CONMEBOL,1.8,0.73,69.26
32,Senegal,CAF,1.65,0.62,69.2
33,Japan,AFC,1.86,0.78,69.17
34,Wales,UEFA,1.65,0.64,68.73
35,Norway,UEFA,1.99,0.91,68.56
36,Mali,CAF,1.7,0.71,67.98
37,Ukraine,UEFA,1.77,0.76,67.97
38,Turkey,UEFA,1.88,0.86,67.81
39,Australia,AFC,1.92,0.9,67.34
40,Ghana,CAF,1.54,0.66,66.08
41,Romania,UEFA,1.88,1.0,64.55
42,Greece,UEFA,1.5,0.7,64.12
43,Tunisia,CAF,1.56,0.78,63.55
44,Ivory Coast,CAF,1.62,0.85,62.71
45,South Korea,AFC,1.51,0.8,61.9
46,Bosnia and Herzegovina,UEFA,1.74,1.01,61.29
47,Egypt,CAF,1.55,0.88,60.6
48,Hungary,UEFA,1.54,0.91,59.84
49,Canada,CONCACAF,1.82,1.16,59.71
50,Scotland,UEFA,1.46,0.84,59.71
51,Israel,UEFA,1.72,1.08,59.39
52,Basque Country,UEFA,1.63,1.0,59.32
53,Slovenia,UEFA,1.4,0.82,58.87
54,Nigeria,CAF,1.77,1.15,58.73
55,Qatar,AFC,1.67,1.07,58.68
56,Iraq,AFC,1.42,0.85,58.56
57,Cameroon,CAF,1.3,0.75,58.41
58,Finland,UEFA,1.61,1.03,58.39
59,Costa Rica,CONCACAF,1.49,0.93,58.04
60,Burkina Faso,CAF,1.45,0.91,57.7
61,Northern Ireland,UEFA,1.37,0.92,55.7
62,Iceland,UEFA,1.52,1.06,55.68
63,Rep of Ireland,UEFA,1.26,0.82,55.62
64,Guinea,CAF,1.42,1.03,54.23
65,Slovakia,UEFA,1.53,1.14,54.08
66,Zambia,CAF,1.66,1.28,53.65
67,Congo DR,CAF,1.37,1.01,53.52
68,Honduras,CONCACAF,1.56,1.2,53.21
69,Bolivia,CONMEBOL,1.57,1.22,53.13
70,Uzbekistan,AFC,1.47,1.13,52.97
71,Uganda,CAF,1.15,0.82,52.87
72,Saudi Arabia,AFC,1.56,1.24,52.47
73,Panama,CONCACAF,1.35,1.04,52.35
74,Georgia,UEFA,1.27,1.0,51.42
75,Albania,UEFA,1.32,1.06,51.04
76,Haiti,CONCACAF,1.47,1.23,50.56
77,Bahrain,AFC,1.24,1.0,50.49
78,Zimbabwe,CAF,1.42,1.22,49.7
79,Montenegro,UEFA,1.23,1.04,49.31
80,Benin,CAF,1.18,1.0,49.26
81,China PR,AFC,1.2,1.02,49.21
82,Belarus,UEFA,1.34,1.16,49.19
83,FYR Macedonia,UEFA,1.3,1.13,48.8
84,Kosovo,UEFA,1.33,1.2,48.1
85,Bulgaria,UEFA,1.2,1.07,48.0
86,South Africa,CAF,1.35,1.24,47.7
87,Jamaica,CONCACAF,1.32,1.21,47.69
88,Gabon,CAF,1.16,1.04,47.6
89,Congo,CAF,1.21,1.17,45.89
90,Armenia,UEFA,1.48,1.49,45.34
91,Guatemala,CONCACAF,1.28,1.29,44.88
92,Tanzania,CAF,1.19,1.2,44.71
93,Kenya,CAF,1.11,1.12,44.4
94,New Zealand,OFC,1.26,1.3,44.18
95,Libya,CAF,1.32,1.37,44.14
96,Togo,CAF,1.12,1.2,42.93
97,Angola,CAF,1.07,1.14,42.82
98,El Salvador,CONCACAF,1.07,1.15,42.72
99,Jordan,AFC,0.92,1.01,42.2
100,Cape Verde Islands,CAF,1.04,1.15,42.17
101,Madagascar,CAF,1.3,1.44,42.16
102,Curacao,CONCACAF,1.29,1.47,41.53
103,Oman,AFC,1.08,1.24,41.19
104,Equatorial Guinea,CAF,1.06,1.26,40.12
105,Gambia,CAF,1.18,1.41,40.04
106,Namibia,CAF,0.82,1.03,38.73
107,Kuwait,AFC,1.06,1.34,38.47
108,Malawi,CAF,0.66,0.85,38.22
109,Botswana,CAF,0.77,0.99,38.1
110,Luxembourg,UEFA,1.12,1.44,38.03
111,Mozambique,CAF,1.12,1.45,37.79
112,Syria,AFC,1.36,1.74,37.65
113,Liberia,CAF,1.05,1.37,37.46
114,Trinidad and Tobago,CONCACAF,1.09,1.44,37.24
115,Sudan,CAF,0.96,1.29,36.91
116,Mauritania,CAF,1.0,1.34,36.91
117,United Arab Emirates,AFC,1.08,1.47,36.4
118,Rwanda,CAF,0.7,0.99,36.21
119,Azerbaijan,UEFA,0.82,1.22,34.73
120,Cuba,CONCACAF,0.89,1.31,34.58
121,Kazakhstan,UEFA,0.98,1.44,34.35
122,Lithuania,UEFA,1.03,1.53,34.08
123,Cyprus,UEFA,1.01,1.51,33.86
124,Estonia,UEFA,0.88,1.35,33.74
125,Burundi,CAF,0.88,1.37,33.29
126,Sierra Leone,CAF,1.08,1.65,32.95
127,Bermuda,CONCACAF,1.19,1.82,32.69
128,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
129,Lesotho,CAF,0.79,1.3,32.21
130,Comoros,CAF,1.0,1.6,32.05
131,Lebanon,AFC,0.62,1.09,31.7
132,Ethiopia,CAF,0.84,1.4,31.68
133,Guinea-Bissau,CAF,0.9,1.49,31.61
134,Vietnam,AFC,0.68,1.19,31.55
135,Dominican Republic,CONCACAF,1.1,1.78,31.24
136,Nicaragua,CONCACAF,0.88,1.5,30.87
137,Latvia,UEFA,0.92,1.59,30.44
138,Thailand,AFC,0.9,1.59,29.77
139,Central African Republic,CAF,1.03,1.79,29.55
140,North Korea,AFC,0.87,1.59,28.99
141,Moldova,UEFA,0.76,1.45,28.87
