,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
10,2016.0,2016-08-12,1843.0,French Ligue 1,Bastia,Paris Saint-Germain,51.16,85.68,0.0463,0.838,0.1157,0.91,2.36,32.4,67.7,0.0,1.0,0.97,0.63,0.43,0.45,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,
11,2016.0,2016-08-12,1843.0,French Ligue 1,AS Monaco,Guingamp,68.85,56.48,0.5714,0.1669,0.2617,1.82,0.86,53.7,22.9,2.0,2.0,2.45,0.77,1.75,0.42,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,
12,2016.0,2016-08-13,2411.0,Barclays Premier League,Hull City,Leicester City,53.57,66.81,0.3459,0.3621,0.2921,1.16,1.24,38.1,22.2,2.0,1.0,0.85,2.77,0.17,1.25,2.1,1.05,,,,,,,,,,,,,,,,,,,,,,,
13,2016.0,2016-08-13,2411.0,Barclays Premier League,Crystal Palace,West Bromwich Albion,55.19,58.66,0.4214,0.2939,0.2847,1.35,1.14,43.6,34.6,0.0,1.0,1.11,0.68,0.84,1.6,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,
14,2016.0,2016-08-13,2411.0,Barclays Premier League,Everton,Tottenham Hotspur,68.02,73.25,0.391,0.3401,0.2689,1.47,1.38,31.9,48.0,1.0,1.0,0.73,1.11,0.88,1.81,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,
15,2016.0,2016-08-13,2411.0,Barclays Premier League,Burnley,Swansea City,58.98,59.74,0.4482,0.2663,0.2854,1.37,1.05,36.5,29.1,0.0,1.0,1.24,1.84,1.71,1.56,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,
16,2016.0,2016-08-13,2411.0,Barclays Premier League,Middlesbrough,Stoke City,56.32,60.35,0.43799999999999994,0.2692,0.2927,1.3,1.01,33.9,32.5,1.0,1.0,1.4,0.55,1.13,1.06,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,
17,2016.0,2016-08-13,2411.0,Barclays Premier League,Southampton,Watford,69.49,59.33,0.5759,0.1874,0.2367,1.91,1.05,34.1,30.7,1.0,1.0,1.05,0.22,1.52,0.41,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,
18,2016.0,2016-08-13,1843.0,French Ligue 1,Bordeaux,St Etienne,62.01,64.92,0.4232,0.2764,0.3004,1.39,1.14,37.9,44.2,3.0,2.0,1.03,1.84,1.1,2.26,3.12,2.1,,,,,,,,,,,,,,,,,,,,,,,
19,2016.0,2016-08-13,2411.0,Barclays Premier League,Manchester City,Sunderland,86.42,53.64,0.8152,0.0525,0.1323,2.69,0.48,73.0,27.0,2.0,1.0,2.14,1.25,1.81,0.92,2.1,1.05,,,,,,,,,,,,,,,,,,,,,,,
20,2016.0,2016-08-13,1843.0,French Ligue 1,Dijon FCO,Nantes,55.0,54.9,0.4471,0.249,0.3038,1.4,1.01,29.2,25.6,0.0,1.0,0.3,1.17,0.81,0.87,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,
21,2016.0,2016-08-13,1843.0,French Ligue 1,Montpellier,Angers,58.82,53.1,0.4939,0.2109,0.2952,1.51,0.89,22.5,27.7,1.0,0.0,0.8,0.53,0.58,1.28,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,
22,2016.0,2016-08-13,1843.0,French Ligue 1,Caen,Lorient,55.0,47.64,0.4737,0.2401,0.2862,1.62,1.11,28.1,28.5,3.0,2.0,2.14,2.04,1.88,0.91,3.15,2.1,,,,,,,,,,,,,,,,,,,,,,,
23,2016.0,2016-08-13,1843.0,French Ligue 1,Metz,Lille,54.34,66.1,0.3444,0.3479,0.3077,1.18,1.3,26.9,48.7,3.0,2.0,2.35,1.87,0.68,1.26,3.15,2.1,,,,,,,,,,,,,,,,,,,,,,,
24,2016.0,2016-08-14,2411.0,Barclays Premier League,AFC Bournemouth,Manchester United,61.57,80.49,0.2111,0.5461,0.2428,1.15,1.78,27.9,58.0,1.0,3.0,0.51,2.21,1.11,0.88,1.05,3.15,,,,,,,,,,,,,,,,,,,,,,,
25,2016.0,2016-08-14,1843.0,French Ligue 1,AS Nancy Lorraine,Lyon,54.87,68.23,0.3584,0.3551,0.2865,1.43,1.43,25.2,53.2,0.0,3.0,0.37,2.34,1.05,1.39,0.0,2.63,,,,,,,,,,,,,,,,,,,,,,,
26,2016.0,2016-08-14,1843.0,French Ligue 1,Nice,Stade Rennes,56.7,53.62,0.475,0.2298,0.2952,1.51,0.99,25.1,28.6,1.0,0.0,0.71,1.3,0.33,1.54,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,
27,2016.0,2016-08-14,2411.0,Barclays Premier League,Arsenal,Liverpool,82.55,77.44,0.5551,0.2115,0.2334,1.91,1.21,62.7,63.9,3.0,4.0,1.14,1.84,1.19,1.49,3.15,4.2,,,,,,,,,,,,,,,,,,,,,,,
28,2016.0,2016-08-14,1843.0,French Ligue 1,Marseille,Toulouse,62.62,56.83,0.5033,0.2126,0.284,1.63,0.98,33.4,22.0,0.0,0.0,0.38,0.26,0.59,0.81,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
29,2016.0,2016-08-15,2411.0,Barclays Premier League,Chelsea,West Ham United,80.7,63.27,0.6908,0.1177,0.1915,2.23,0.91,67.7,25.5,2.0,1.0,1.55,0.55,1.76,0.75,2.1,1.05,,,,,,,,,,,,,,,,,,,,,,,
30,2016.0,2016-08-19,1869.0,Spanish Primera Division,Málaga,Osasuna,72.57,56.93,0.5475,0.1897,0.2628,1.56,0.7,22.1,31.4,1.0,1.0,0.92,0.81,1.4,0.69,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,
31,2016.0,2016-08-19,1843.0,French Ligue 1,Lyon,Caen,70.32,55.32,0.6106,0.1554,0.23399999999999999,2.13,0.99,55.3,19.2,2.0,0.0,2.92,0.53,1.79,0.52,1.58,0.0,,,,,,,,,,,,,,,,,,,,,,,
32,2016.0,2016-08-19,2411.0,Barclays Premier League,Manchester United,Southampton,81.05,69.22,0.6197,0.1494,0.2309,1.85,0.87,61.8,41.6,2.0,0.0,1.37,0.7,1.59,1.69,2.1,0.0,,,,,,,,,,,,,,,,,,,,,,,
33,2016.0,2016-08-19,1869.0,Spanish Primera Division,Deportivo La Coruña,Eibar,66.52,62.29,0.5003,0.226,0.2738,1.47,0.79,37.4,38.1,2.0,1.0,1.7,0.33,0.48,0.81,2.1,1.05,,,,,,,,,,,,,,,,,,,,,,,
34,2016.0,2016-08-20,2411.0,Barclays Premier League,Stoke City,Manchester City,60.42,85.71,0.1278,0.672,0.2002,0.99,1.98,28.9,67.0,1.0,4.0,1.38,2.26,0.83,2.05,1.05,3.27,,,,,,,,,,,,,,,,,,,,,,,
35,2016.0,2016-08-20,2411.0,Barclays Premier League,Tottenham Hotspur,Crystal Palace,73.64,54.21,0.6638,0.11900000000000001,0.2172,1.94,0.71,44.2,37.5,1.0,0.0,2.32,0.4,1.38,0.79,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,
36,2016.0,2016-08-20,2411.0,Barclays Premier League,West Bromwich Albion,Everton,59.64,67.51,0.3696,0.3491,0.2814,1.31,1.3,29.7,27.7,1.0,2.0,2.12,1.95,1.76,2.14,1.05,2.1,,,,,,,,,,,,,,,,,,,,,,,
37,2016.0,2016-08-20,2411.0,Barclays Premier League,Watford,Chelsea,59.57,80.51,0.1955,0.5783,0.2262,1.2,1.98,29.4,60.3,1.0,2.0,0.76,1.87,0.47,2.04,1.05,2.1,,,,,,,,,,,,,,,,,,,,,,,
38,2016.0,2016-08-20,2411.0,Barclays Premier League,Swansea City,Hull City,60.87,53.47,0.4993,0.2171,0.2836,1.41,0.86,29.1,32.4,0.0,2.0,1.35,1.94,3.11,0.94,0.0,1.58,,,,,,,,,,,,,,,,,,,,,,,
